playerid,platform,completion_ratio,normalized_score,engagement_score
2329278,XBOX,0.1341463414634146,0.0558619395615246,0.10283258070265859
76561198977284380,STEAM,0.3978494623655913,,0.3978494623655913
1800385,PS,0.9767441860465116,0.3469387755102025,0.7248220218319879
791967,XBOX,0.1578947368421052,0.041810822326374,0.11146117103581273
330498,PS,0.68,0.3202960888266481,0.5361184355306593
793253,XBOX,0.010204081632653,0.0384216037475888,0.021491090478627323
375076,PS,0.2658227848101265,0.3203642384105959,0.2876393662503143
1720765,PS,0.0909090909090909,0.3424132364810325,0.19151074913786753
285609,PS,0.1052631578947368,0.3106312292358802,0.18741038643119418
349814,PS,0.7384615384615385,0.3152154793315728,0.5691631148095522
798956,XBOX,0.3275862068965517,0.0359551056338027,0.2109337663914521
2236922,PS,0.0196078431372549,0.3099214145383105,0.13573327169767715
833224,XBOX,0.1136363636363636,0.0478573565603434,0.08732476080595553
720033,XBOX,0.0714285714285714,0.0340330417881438,0.05647035957240036
1347209,XBOX,0.55,0.0437459807073955,0.3474983922829582
76561197992306829,STEAM,0.4358974358974359,,0.4358974358974359
76561198103385518,STEAM,0.3,,0.3
2048826,XBOX,0.0476190476190476,0.0412285283776996,0.045062839922508396
76561198040704081,STEAM,0.2727272727272727,,0.2727272727272727
766679,XBOX,0.0204081632653061,0.034733407079646,0.02613826079104206
76561198106951285,STEAM,0.5714285714285714,,0.5714285714285714
76561197970667472,STEAM,0.108695652173913,,0.108695652173913
2718220,XBOX,0.2388059701492537,0.042438671786763,0.16025905080425742
2254268,PS,0.4594594594594594,0.3141411378555806,0.40133213081790786
327909,PS,0.108695652173913,0.3264837227363927,0.19581088039890487
76561198139094658,STEAM,0.1714285714285714,,0.1714285714285714
3479076,PS,0.073170731707317,0.3062248995983931,0.16639239886374746
1824531,XBOX,0.0571428571428571,0.0409233090269046,0.0506550378964761
394604,PS,0.15,0.3558490184173251,0.23233960736693005
1934992,PS,0.1046511627906976,0.313155594405595,0.18805293543665655
1173565,XBOX,0.2745098039215686,0.0354216185625353,0.17887452977795526
4027967,XBOX,0.8148148148148147,0.0476265720735247,0.5079395177182986
76561198097004749,STEAM,1.0,,1.0
780550,XBOX,0.5227272727272727,0.0369353574926542,0.3284105066334253
827675,XBOX,0.606060606060606,0.0381052318668251,0.37887845638309364
2388776,PS,0.0789473684210526,0.3228060368921182,0.17649083580947883
805783,XBOX,0.0056179775280898,0.0360441700308715,0.017788454529202483
89247,PS,0.1224489795918367,0.3312045933911408,0.20595122511155833
2772414,PS,0.7857142857142857,0.3109903381642514,0.595824706694272
1219995,PS,0.6122448979591836,0.3370253164556958,0.5021570653577885
1854325,PS,0.7027027027027027,0.3709181713407608,0.569988890157926
87048,PS,0.0983606557377049,0.3225893096964803,0.18805211732121507
798054,XBOX,0.6470588235294118,0.040328457079768,0.40436667694955425
3588320,PS,0.1041666666666666,0.3244181155356135,0.19226724621424535
299444,PS,0.03125,0.3114579530242191,0.14333318120968763
3082275,PS,0.8356164383561643,0.3781096059113306,0.6526137053782308
4121037,XBOX,0.8269230769230768,0.0480478299379984,0.5153729781290454
76561198065216250,STEAM,0.3461538461538461,,0.3461538461538461
1230177,XBOX,0.16,0.0403631885936488,0.11214527543745953
76561198046629042,STEAM,0.0133333333333333,,0.0133333333333333
4428008,PS,0.1159420289855072,0.296730675741371,0.18825748768785272
4533888,XBOX,0.42,0.0429036199786162,0.2691614479914465
76561198211037749,STEAM,0.5106382978723403,,0.5106382978723403
357648,PS,0.0188679245283018,0.3134378126042012,0.13669587975866157
1157814,XBOX,0.358974358974359,0.1164731240021285,0.26197386498546676
847661,XBOX,0.9523809523809524,0.0543856502242151,0.5931828315182575
1123348,PS,0.6216216216216216,0.3233137829912027,0.502298486169454
678160,XBOX,0.3076923076923077,0.0411478260869564,0.20107451505016719
3142882,PS,0.125,0.3012667304015294,0.19550669216061178
1759952,PS,0.2203389830508474,0.314290260980267,0.2579194942226153
1647656,XBOX,0.511111111111111,0.0676283538986616,0.33371800822613124
730335,XBOX,0.6455696202531644,0.0410837438423645,0.4037752696888444
2121813,XBOX,0.21875,0.0817935862602372,0.1639674345040949
327909,PS,0.3076923076923077,0.326483722736391,0.315208873709941
136703,PS,0.125,0.330362448009507,0.20714497920380281
1822166,PS,0.0980392156862745,0.3137014314928425,0.1843041020089017
76561198261297068,STEAM,0.0136986301369863,,0.0136986301369863
275542,PS,0.3384615384615384,0.311624203821656,0.32772660460558545
1230177,XBOX,0.1869158878504672,0.0403631885936488,0.12829480814773983
781116,XBOX,0.0263157894736842,0.0356633128834355,0.03005479883758472
322990,PS,0.2307692307692307,0.3585843920145186,0.28189529526734586
703455,XBOX,0.1428571428571428,0.0342443226311668,0.09941201476675239
296149,PS,0.4090909090909091,0.3119329388560163,0.370227720996952
188953,PS,0.3673469387755102,0.2977166276346607,0.3394948143191704
660303,XBOX,0.081081081081081,0.0332516129032258,0.061949293809938924
1218430,PS,0.024390243902439,0.3123768877216028,0.13958490143010455
3250644,PS,0.1578947368421052,0.3341619318181818,0.22840161483253585
4576282,PS,0.4117647058823529,0.3287696239503475,0.3785666731095507
837279,XBOX,0.0166666666666666,0.0386944016435543,0.02547776065742168
780773,XBOX,0.3287671232876712,0.0328752196836555,0.21041036184606493
76561198828945048,STEAM,0.3859649122807017,,0.3859649122807017
